date,event_count,motion_count_total,door_event_count,night_motion_count,morning_motion_count,day_motion_count,evening_motion_count,first_motion_minute,last_motion_minute,longest_inactivity_gap_minutes,active_sensors_count,active_sensor_types_count
2010-11-04,6336,2573,298,27,861,1145,540,3.0,1423.0,148.71903861666667,10,3
2010-11-05,8150,3274,424,166,1963,700,445,0.0,1419.0,127.85162973333333,10,3
2010-11-06,5634,1925,418,44,764,608,509,8.0,1439.0,237.27755453333333,10,3
2010-11-07,8194,2629,454,223,769,900,737,1.0,1432.0,126.24519504999999,10,3
2010-11-08,5834,1994,540,59,801,824,310,11.0,1434.0,239.78371084999998,10,3
2010-11-09,9376,2742,976,73,825,913,931,1.0,1439.0,146.24337105,10,3
2010-11-10,4947,1540,322,111,624,157,648,0.0,1438.0,479.5900686833333,10,3
2010-11-11,6174,2116,352,35,775,733,573,6.0,1433.0,306.48740395,10,3
2010-11-12,6312,2115,428,25,1038,799,253,239.0,1436.0,239.95204431666667,10,3
2010-11-13,6902,2161,150,86,717,638,720,2.0,1423.0,165.98733433333334,10,3
2010-11-14,4104,1364,154,32,657,427,248,5.0,1438.0,222.48037648333332,10,3
2010-11-15,4264,1552,408,82,594,431,445,16.0,1428.0,176.11327885,10,3
2010-11-16,6394,2196,342,339,744,873,240,4.0,1422.0,113.77449041666667,10,3
2010-11-17,3293,1208,222,210,577,0,421,2.0,1411.0,557.2962241666667,10,3
2010-11-18,4867,1526,224,139,515,498,374,1.0,1436.0,194.7294738,10,3
2010-11-19,4256,1161,206,65,563,220,313,0.0,1430.0,225.59231716666667,9,3
2010-11-20,9340,3428,486,169,782,1231,1246,6.0,1425.0,184.28794108333335,10,3
2010-11-21,5416,2070,154,62,889,800,319,3.0,1424.0,163.74696416666666,10,3
2010-11-22,7294,2022,260,42,932,680,368,216.0,1407.0,216.60018346666666,10,3
2010-11-23,6546,1791,220,149,581,729,332,14.0,1439.0,296.3283900166667,10,3
2010-11-24,8144,2768,282,134,483,1753,398,0.0,1439.0,130.72459048333334,10,3
2010-11-25,8432,2899,280,127,1112,1456,204,3.0,1416.0,348.99398055,10,3
2010-11-26,6562,1661,332,89,420,778,374,22.0,1436.0,158.2792385333333,10,3
2010-11-27,6106,1500,176,140,480,501,379,7.0,1435.0,132.25604438333332,10,3
2010-11-28,6529,2628,236,47,743,1480,358,35.0,1411.0,97.70057108333334,10,3
2010-11-29,5419,1712,332,186,658,431,437,14.0,1415.0,258.1665972833333,10,3
2010-11-30,8043,2748,686,114,768,1255,611,6.0,1390.0,322.1614750333334,10,3
2010-12-01,5929,1833,436,8,779,517,529,3.0,1437.0,234.18665266666667,10,3
2010-12-02,5214,1769,572,137,918,186,528,0.0,1413.0,235.01533143333333,10,3
2010-12-03,5248,1343,254,92,590,344,317,8.0,1415.0,264.93074458333336,10,3
2010-12-04,5854,1938,426,111,797,356,674,2.0,1382.0,264.7115928,10,3
2010-12-05,11210,4682,464,74,837,2746,1025,20.0,1437.0,167.21964111666665,10,3
2010-12-06,9870,3214,774,208,1724,745,537,0.0,1429.0,115.45715886666667,10,3
2010-12-07,9007,3423,908,91,841,1691,800,8.0,1420.0,175.92107888333334,10,3
2010-12-08,6076,1888,340,34,763,649,442,0.0,1431.0,226.47283276666667,10,3
2010-12-09,4534,1444,230,48,494,557,345,183.0,1389.0,288.3024444833334,10,3
2010-12-10,3887,1072,154,56,473,323,220,216.0,1439.0,245.3850118,10,3
2010-12-11,5816,1694,180,100,732,480,382,0.0,1428.0,243.16103175,10,3
2010-12-12,5236,1808,258,60,761,761,226,53.0,1425.0,171.21836046666667,10,3
2010-12-13,6211,2095,509,37,884,836,338,183.0,1393.0,247.5595902,10,3
2010-12-14,7262,2443,548,65,735,1346,297,5.0,1392.0,223.15786013333334,10,3
2010-12-15,4475,1323,256,103,812,292,116,1.0,1290.0,267.68900049999996,10,3
2010-12-16,5507,1548,268,79,733,424,312,23.0,1439.0,168.05222525,10,3
2010-12-17,9868,3527,826,47,777,1001,1702,0.0,1406.0,198.34875563333333,10,3
2010-12-18,10433,3609,506,201,647,1114,1647,41.0,1423.0,279.0998696,10,3
2010-12-19,9114,3338,580,56,668,1933,681,104.0,1438.0,145.37616001666666,10,3
2010-12-20,5582,1829,284,71,556,900,302,1.0,1351.0,269.94689166666666,10,3
2010-12-21,6840,2122,230,85,302,1372,363,5.0,1370.0,241.0797909833333,10,3
2010-12-22,7054,2191,262,89,517,1025,560,5.0,1406.0,177.61617906666666,10,3
2010-12-23,10004,3636,382,81,1117,2033,405,3.0,1437.0,140.67059676666668,10,3
2010-12-24,7201,2984,218,53,436,2360,135,0.0,1439.0,353.99430821666664,10,3
2010-12-25,6440,2304,365,37,1033,1022,212,0.0,1424.0,240.8198758,10,3
2010-12-26,5087,1493,212,66,763,464,200,19.0,1425.0,273.6286013,10,3
2010-12-27,12786,4998,338,8,1430,1997,1563,7.0,1398.0,145.35538823333334,10,3
2010-12-28,16456,6089,678,159,1935,2811,1184,22.0,1436.0,193.3872351,10,3
2010-12-29,17684,4874,612,59,1855,2048,912,0.0,1432.0,118.38499525,10,3
2010-12-30,14846,5598,748,229,1918,2919,532,2.0,1390.0,67.86510308333332,10,3
2010-12-31,7082,2015,370,106,417,778,714,39.0,1427.0,321.8990333,10,3
