date,event_count,motion_count_total,door_event_count,night_motion_count,morning_motion_count,day_motion_count,evening_motion_count,first_motion_minute,last_motion_minute,longest_inactivity_gap_minutes,active_sensors_count,active_sensor_types_count
2010-11-04,6336,3168,0,27,1066,1501,574,3.0,1423.0,148.71903861666667,10,1
2010-11-05,8150,4075,0,166,2631,813,465,0.0,1419.0,127.85162973333333,10,1
2010-11-06,5634,2817,0,44,966,695,1112,8.0,1439.0,237.27755453333333,10,1
2010-11-07,8194,4097,0,225,1251,1408,1213,1.0,1432.0,126.24519504999999,10,1
2010-11-08,5834,2917,0,59,1104,1110,644,11.0,1434.0,239.78371084999998,10,1
2010-11-09,9376,4690,0,73,1122,2228,1267,1.0,1439.0,146.24337105,10,1
2010-11-10,4947,2473,0,141,917,209,1206,0.0,1438.0,479.5900686833333,10,1
2010-11-11,6174,3087,0,36,957,1079,1015,6.0,1433.0,191.52075511666666,10,1
2010-11-12,6312,3156,0,25,1382,1042,707,239.0,1436.0,239.95204431666667,10,1
2010-11-13,6902,3451,0,86,923,1431,1011,2.0,1423.0,165.98733433333334,10,1
2010-11-14,4104,2052,0,32,860,545,615,5.0,1438.0,222.48037648333332,10,1
2010-11-15,4264,2132,0,82,791,587,672,16.0,1428.0,176.11327885,10,1
2010-11-16,6394,3197,0,384,1024,1210,579,4.0,1422.0,68.68139851666666,10,1
2010-11-17,3293,1647,0,211,697,0,739,2.0,1439.0,557.2962241666667,10,1
2010-11-18,4867,2433,0,169,760,726,778,0.0,1436.0,194.7294738,10,1
2010-11-19,4256,2128,0,68,990,350,720,0.0,1430.0,225.59231716666667,9,1
2010-11-20,9340,4670,0,190,1024,1726,1730,3.0,1425.0,184.28794108333335,10,1
2010-11-21,5416,2708,0,62,1097,1052,497,3.0,1424.0,163.74696416666666,10,1
2010-11-22,7294,3647,0,42,1433,1298,874,216.0,1435.0,216.60018346666666,10,1
2010-11-23,6546,3273,0,182,871,1432,788,4.0,1439.0,296.3283900166667,10,1
2010-11-24,8144,4072,0,161,756,2234,921,0.0,1439.0,115.15169278333333,10,1
2010-11-25,8432,4216,0,142,1496,2221,357,3.0,1438.0,348.99398055,10,1
