date,door_h00,door_h01,door_h02,door_h03,door_h04,door_h05,door_h06,door_h07,door_h08,door_h09,door_h10,door_h11,door_h12,door_h13,door_h14,door_h15,door_h16,door_h17,door_h18,door_h19,door_h20,door_h21,door_h22,door_h23,light_h00,light_h01,light_h02,light_h03,light_h04,light_h05,light_h06,light_h07,light_h08,light_h09,light_h10,light_h11,light_h12,light_h13,light_h14,light_h15,light_h16,light_h17,light_h18,light_h19,light_h20,light_h21,light_h22,light_h23,other_h00,other_h01,other_h02,other_h03,other_h04,other_h05,other_h06,other_h07,other_h08,other_h09,other_h10,other_h11,other_h12,other_h13,other_h14,other_h15,other_h16,other_h17,other_h18,other_h19,other_h20,other_h21,other_h22,other_h23
2010-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,55.0,55.0,32.0,0.0,16.0,6.0,36.0,20.0,26.0,4.0,4.0,0.0,8.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,122.0,130.0,42.0,0.0,72.0,90.0,230.0,64.0,256.0,20.0,5.0,1.0,24.0,0.0,18.0,2.0,0.0,2.0,4.0,8.0,38.0,8.0,30.0,496.0,324.0,448.0,262.0,0.0,230.0,88.0,478.0,856.0,534.0,284.0,190.0,10.0,274.0,16.0,266.0
2010-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,26.0,54.0,96.0,58.0,14.0,60.0,0.0,12.0,82.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,417.0,757.0,92.0,36.0,106.0,0.0,31.0,23.0,30.0,12.0,0.0,0.0,0.0,28.0,0.0,279.0,3.0,14.0,0.0,36.0,0.0,6.0,248.0,1174.0,1410.0,704.0,138.0,187.0,627.0,0.0,38.0,242.0,134.0,212.0,166.0,26.0,94.0,194.0,192.0
2010-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22.0,68.0,154.0,0.0,0.0,0.0,4.0,42.0,8.0,44.0,22.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,114.0,250.0,86.0,12.0,0.0,0.0,0.0,76.0,144.0,344.0,182.0,92.0,222.0,222.0,14.0,4.0,2.0,0.0,60.0,8.0,0.0,2.0,44.0,470.0,454.0,441.0,403.0,28.0,0.0,0.0,13.0,573.0,86.0,420.0,142.0,0.0,74.0,194.0
2010-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,34.0,24.0,0.0,0.0,80.0,26.0,32.0,102.0,4.0,52.0,10.0,38.0,28.0,4.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,173.0,32.0,304.0,376.0,222.0,108.0,214.0,128.0,204.0,140.0,156.0,144.0,196.0,268.0,118.0,70.0,208.0,14.0,0.0,144.0,26.0,54.0,26.0,296.0,396.0,296.0,438.0,24.0,164.0,66.0,504.0,194.0,134.0,442.0,52.0,482.0,558.0,57.0,141.0,88.0
2010-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,102.0,64.0,0.0,12.0,104.0,20.0,40.0,32.0,66.0,26.0,16.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,248.0,74.0,136.0,0.0,28.0,172.0,122.0,130.0,120.0,120.0,146.0,82.0,84.0,66.0,170.0,70.0,2.0,0.0,0.0,0.0,46.0,4.0,8.0,478.0,316.0,152.0,458.0,0.0,92.0,64.0,174.0,566.0,544.0,126.0,85.0,85.0,0.0,26.0,152.0
2010-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,58.0,20.0,0.0,18.0,127.0,120.0,8.0,143.0,324.0,110.0,16.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,216.0,262.0,86.0,0.0,26.0,128.0,434.0,643.0,1399.0,213.0,165.0,64.0,120.0,70.0,40.0,88.0,12.0,0.0,0.0,2.0,44.0,2.0,2.0,278.0,578.0,488.0,206.0,0.0,79.0,127.0,270.0,42.0,890.0,405.0,652.0,282.0,12.0,0.0,45.0
2010-11-10,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,122.0,10.0,10.0,0.0,14.0,2.0,60.0,0.0,0.0,0.0,0.0,0.0,18.0,252.0,170.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,252.0,244.0,278.0,114.0,122.0,106.0,205.0,12.0,2.0,2.0,0.0,0.0,302.0,269.0,261.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,725.0,36.0,66.0,0.0,26.0,286.0
2010-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,78.0,10.0,0.0,74.0,4.0,12.0,24.0,16.0,2.0,18.0,22.0,6.0,58.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,131.0,138.0,64.0,0.0,102.0,112.0,72.0,166.0,240.0,86.0,210.0,336.0,98.0,154.0,0.0,14.0,0.0,0.0,0.0,0.0,56.0,0.0,4.0,324.0,407.0,555.0,144.0,0.0,321.0,118.0,189.0,548.0,160.0,0.0,270.0,244.0,100.0,350.0,76.0
2010-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,33.0,94.0,48.0,0.0,101.0,45.0,8.0,44.0,0.0,10.0,8.0,0.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,260.0,214.0,116.0,0.0,92.0,98.0,32.0,134.0,130.0,86.0,214.0,148.0,126.0,142.0,192.0,0.0,0.0,0.0,2.0,46.0,2.0,14.0,2.0,612.0,92.0,540.0,616.0,0.0,166.0,90.0,808.0,336.0,0.0,45.0,83.0,22.0,24.0,176.0,126.0
2010-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,8.0,24.0,6.0,4.0,0.0,22.0,42.0,6.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,124.0,0.0,286.0,838.0,392.0,130.0,178.0,48.0,0.0,118.0,104.0,190.0,78.0,92.0,0.0,86.0,2.0,8.0,6.0,4.0,66.0,0.0,0.0,208.0,498.0,8.0,697.0,85.0,161.0,137.0,218.0,425.0,209.0,596.0,222.0,180.0,10.0,196.0,150.0
