date,was_active_morning,was_active_night,was_active_day,was_active_evening,had_long_inactivity
2010-11-04,True,True,True,True,True
2010-11-05,True,True,True,True,True
2010-11-06,True,True,True,True,True
2010-11-07,True,True,True,True,True
2010-11-08,True,True,True,True,True
2010-11-09,True,True,True,True,True
2010-11-10,True,True,True,True,True
2010-11-11,True,True,True,True,True
2010-11-12,True,True,True,True,True
2010-11-13,True,True,True,True,True
2010-11-14,True,True,True,True,True
2010-11-15,True,True,True,True,True
2010-11-16,True,True,True,True,False
2010-11-17,True,True,False,True,True
2010-11-18,True,True,True,True,True
2010-11-19,True,True,True,True,True
2010-11-20,True,True,True,True,True
2010-11-21,True,True,True,True,True
2010-11-22,True,True,True,True,True
2010-11-23,True,True,True,True,True
2010-11-24,True,True,True,True,True
2010-11-25,True,True,True,True,True
2010-11-26,True,True,True,True,True
2010-11-27,True,True,True,True,True
2010-11-28,True,True,True,True,False
2010-11-29,True,True,True,True,True
2010-11-30,True,True,True,True,True
2010-12-01,True,True,True,True,True
2010-12-02,True,True,True,True,True
2010-12-03,True,True,True,True,True
2010-12-04,True,True,True,True,True
2010-12-05,True,True,True,True,True
2010-12-06,True,True,True,True,False
2010-12-07,True,True,True,True,True
2010-12-08,True,True,True,True,True
2010-12-09,True,True,True,True,True
2010-12-10,True,True,True,True,True
2010-12-11,True,True,True,True,True
2010-12-12,True,True,True,True,True
2010-12-13,True,True,True,True,True
2010-12-14,True,True,True,True,True
2010-12-15,True,True,True,True,True
2010-12-16,True,True,True,True,True
2010-12-17,True,True,True,True,True
2010-12-18,True,True,True,True,True
2010-12-19,True,True,True,True,True
2010-12-20,True,True,True,True,True
2010-12-21,True,True,True,True,True
2010-12-22,True,True,True,True,True
2010-12-23,True,True,True,True,True
2010-12-24,True,True,True,True,True
2010-12-25,True,True,True,True,True
2010-12-26,True,True,True,True,True
2010-12-27,True,True,True,True,True
2010-12-28,True,True,True,True,True
2010-12-29,True,True,True,True,False
2010-12-30,True,True,True,True,False
2010-12-31,True,True,True,True,True
2011-01-01,True,True,True,True,True
2011-01-02,True,True,True,True,True
2011-01-03,True,True,True,True,True
2011-01-04,True,True,True,True,True
2011-01-05,True,True,True,True,True
2011-01-06,True,True,True,True,True
2011-01-07,True,True,True,True,True
2011-01-08,True,True,True,True,True
2011-01-09,True,True,True,True,True
2011-01-10,True,True,True,True,True
2011-01-11,True,True,True,True,True
2011-01-12,True,True,True,True,True
2011-01-13,True,True,True,True,True
2011-01-14,True,True,True,True,True
2011-01-15,True,True,True,True,True
2011-01-16,True,True,True,True,False
2011-01-17,True,True,True,True,True
2011-01-18,True,True,True,True,True
2011-01-19,True,True,True,True,True
2011-01-20,True,True,True,True,True
2011-01-21,True,True,True,True,True
2011-01-22,True,True,True,True,True
2011-01-23,True,True,True,True,True
2011-01-24,True,True,True,True,True
2011-01-25,True,True,True,True,True
2011-01-26,True,True,True,True,True
2011-01-27,True,True,True,True,True
2011-01-28,True,True,True,True,True
2011-01-29,True,True,True,True,True
2011-01-30,True,True,True,True,True
2011-01-31,True,True,True,True,True
2011-02-01,True,True,True,True,True
2011-02-02,True,True,True,True,True
2011-02-03,True,True,True,True,True
2011-02-04,True,True,True,True,True
2011-02-05,True,True,True,True,True
2011-02-06,True,True,True,True,True
2011-02-07,True,True,True,True,True
2011-02-08,True,True,True,True,True
2011-02-09,True,True,True,True,True
2011-02-10,True,True,True,True,False
2011-02-11,True,True,True,True,True
2011-02-12,True,True,True,True,True
2011-02-13,True,True,True,True,True
2011-02-14,True,True,True,True,True
2011-02-15,True,True,True,True,True
2011-02-16,True,True,True,True,True
2011-02-17,True,True,True,True,True
2011-02-18,True,True,True,True,True
2011-02-19,True,True,False,True,True
2011-02-20,True,True,True,True,False
2011-02-21,True,True,True,True,True
2011-02-22,True,True,True,True,True
2011-02-23,True,True,True,True,True
2011-02-24,True,True,True,True,True
2011-02-25,True,True,True,True,True
2011-02-26,True,True,True,True,True
2011-02-27,True,True,True,True,True
2011-02-28,True,True,True,True,True
2011-03-01,True,True,True,True,True
2011-03-02,True,True,True,True,True
2011-03-03,True,True,True,True,True
2011-03-04,True,True,True,True,True
2011-03-05,True,True,True,True,True
2011-03-06,True,True,True,True,True
2011-03-07,True,True,True,True,True
2011-03-08,True,True,True,True,True
2011-03-09,True,True,True,True,True
2011-03-10,True,True,True,True,True
2011-03-11,True,True,True,True,True
2011-03-12,True,True,True,True,True
2011-03-13,True,True,True,True,True
2011-03-14,True,True,True,True,True
2011-03-15,True,True,True,True,True
2011-03-16,True,True,True,True,True
2011-03-17,True,True,True,True,True
2011-03-18,True,True,True,True,False
2011-03-19,True,True,True,True,True
2011-03-20,True,True,True,True,True
2011-03-21,True,True,True,True,True
2011-03-22,True,True,True,True,True
2011-03-23,True,True,True,True,True
2011-03-24,True,True,True,True,True
2011-03-25,True,True,True,True,True
2011-03-26,True,True,True,True,False
2011-03-27,True,True,True,True,True
2011-03-28,True,True,True,True,True
2011-03-29,True,True,True,True,True
2011-03-30,True,True,True,True,True
2011-03-31,True,True,True,True,True
2011-04-01,True,True,True,True,True
2011-04-02,True,True,True,True,True
2011-04-03,True,True,True,True,True
2011-04-04,True,True,True,True,True
2011-04-05,True,True,True,True,True
2011-04-06,True,True,True,True,True
2011-04-07,True,True,True,True,True
2011-04-08,True,True,True,True,True
2011-04-09,True,True,True,True,True
2011-04-10,True,True,True,True,True
2011-04-11,True,True,True,True,True
2011-04-12,True,True,True,True,True
2011-04-13,True,True,True,True,True
2011-04-14,True,True,True,True,True
2011-04-15,True,True,True,True,True
2011-04-16,True,True,True,True,True
2011-04-17,True,True,True,True,True
2011-04-18,True,True,True,True,True
2011-04-19,True,True,True,True,True
2011-04-20,True,True,True,True,True
2011-04-21,True,True,True,True,True
2011-04-22,True,True,True,True,True
2011-04-23,True,True,True,True,True
2011-04-24,True,True,True,True,True
2011-04-25,True,True,True,True,True
2011-04-26,True,True,True,True,True
2011-04-27,True,True,True,True,True
2011-04-28,True,True,True,True,True
2011-04-29,True,True,True,True,True
2011-04-30,True,True,True,True,True
2011-05-01,True,True,True,True,True
2011-05-02,True,True,True,True,True
2011-05-03,True,True,True,True,True
2011-05-04,True,True,True,True,True
2011-05-05,True,True,True,True,True
2011-05-06,True,True,True,True,True
2011-05-07,True,True,True,True,True
2011-05-08,True,True,True,True,True
2011-05-09,True,True,True,True,True
2011-05-10,True,True,True,True,True
2011-05-11,True,True,True,True,True
2011-05-12,True,True,True,True,True
2011-05-13,True,True,True,True,True
2011-05-14,True,True,True,True,True
2011-05-15,True,True,True,True,True
2011-05-16,True,True,True,True,True
2011-05-17,True,True,True,True,True
2011-05-18,True,True,True,True,True
2011-05-19,True,True,True,True,True
2011-05-20,True,True,True,True,True
2011-05-21,True,True,True,True,False
2011-05-22,True,True,True,True,True
2011-05-23,True,True,True,True,True
2011-05-24,True,True,True,True,True
2011-05-25,True,True,True,True,True
2011-05-26,True,True,True,True,True
2011-05-27,True,True,True,True,True
2011-05-28,True,True,True,True,True
2011-05-29,True,True,True,True,True
2011-05-30,True,True,True,True,False
2011-05-31,True,True,True,True,True
2011-06-01,True,True,True,True,True
2011-06-02,True,True,True,True,True
2011-06-03,True,True,True,True,True
2011-06-04,True,True,True,True,True
2011-06-05,True,True,True,True,True
2011-06-06,True,True,True,True,False
2011-06-07,True,True,True,True,True
2011-06-08,True,True,True,True,True
2011-06-09,True,True,True,True,True
2011-06-10,True,True,True,True,True
2011-06-11,True,True,True,True,True
